Id	Name	Group	Description
0x20FBF134	OpenGL - Affects driver teardown behavior when	10 - OpenGL	Affects driver teardown behavior when (lpReserved != NULL), which\nindicates that one or more thread may have been terminated prior to\nPROCESS_DETACH. In this case attempting to clean up has undefined\nresults, including the possibility of a hang or a crash.
0x20FEAF0D	0x20FEAF0D (OpenGL)	10 - OpenGL	
0xB0CAD70F	0xB0CAD70F (OpenGL)	10 - OpenGL	
0x00211020	ACE Power Mode CPU Frequency	07 - System, Memory and Compute	Override CPU frequency for ACE power Mode, can be set differently for each game
0x70C71508	Disableonoutofmemory	07 - System, Memory and Compute	Controls the predefined driver behavior associated with "Disableonoutofmemory". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x10C158AD	Indicator Compute Performance	07 - System, Memory and Compute	enable/disable forcing large page sizes to be 128KB on Maxwell under WDDM2
0x00676869	Indicator GPU Power Mode	07 - System, Memory and Compute	Controls the NVIDIA driver behavior associated with "Indicator GPU Power Mode". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x10528AB2	Kepler L1 Cache WAR BUG	07 - System, Memory and Compute	Disable Kepler L1 cache WAR - see bug 986473
0x00FE8CC0	MAX Renaming Memory	07 - System, Memory and Compute	Limit max amount of memory used for renaming on XP
0x20F49AE8	OpenGL App Broken Nv3x Demos	10 - OpenGL	Hacks for broken NV3X demos on NV50 -- cap the number of exposed image units to 16 to avoid crashes, and clamp the position written by vertex programs because NV50 doesn't rasterize primitives with vertices at +/-INF
0x205F7E3B	OpenGL App Claw	10 - OpenGL	Enable the Workstation Performance Code, CLAW
0x20BD755C	OpenGL App Claw Optimize	10 - OpenGL	Enable the optimizing compile in CLAW
0x20BD755B	OpenGL App Claw Statistics	10 - OpenGL	CLAW statistics bitfield
0x20BD755A	OpenGL App Claw Threads	10 - OpenGL	CLAW threading
0x20B3EDD5	OpenGL App Constant Optimize	10 - OpenGL	Optimize based on constant values
0x2037F53A	OpenGL App Copypixel Frontbuffer Flush	10 - OpenGL	Forces a front buffer update on copy pixels, for broken applications using front buffer rendering without glFlush calls
0x202FD652	OpenGL App Direct Pushbuffer	10 - OpenGL	Use direct pushbuffer, not cached pushbuffer
0x20E5C972	OpenGL App Dlist Segmenting	10 - OpenGL	Enable splitting of large Display List (reduce memory peak consumption)
0x201C3B92	OpenGL App DST Reduce	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App DST Reduce". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x202DE437	OpenGL App Export OpenGL 1 2	10 - OpenGL	Some applications have problems with opengl 1.3 -> export opengl 1.2 only
0x2040B347	OpenGL App Force FP Default Precision	10 - OpenGL	VC7.1 RT (mistakenly) clobbers the FP precision.  This emulates the behavior in newer runtimes, such as VC10.
0x20359278	OpenGL App Hide GL3 ON G80 Plus	10 - OpenGL	When set, advertise OpenGL 2.1 for G80+ GPUs (instead of OpenGL 3.0)
0x2084A0A0	OpenGL App Ignore Swap Hints	10 - OpenGL	Ignore all swap hint rects. (SDRC I-DEAS MS9 bug workaround)
0x20696FC3	OpenGL App Lazy Vbum Vbos	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App Lazy Vbum Vbos". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20BE92CB	OpenGL App Maximize Texture	10 - OpenGL	Maximize vidmem available for texture storage
0x20852142	OpenGL App NO Generic Arrays IN FF	10 - OpenGL	WAR for apps that exploit old-style vertex array access bugs such as KOTOR2
0x20335BCA	OpenGL App NO SW Fallback	10 - OpenGL	Don't fall back to SW buffers if HW buffer allocations fail
0x20C42A03	OpenGL App NO TEX Rgba4 TO Rgba8 Mapping	10 - OpenGL	Avoid the remapping from the internal texture format GL_RGBA4 to GL_RGBA8 at the cost of not being able to use that texture as a render target but with the benefit to not having to convert it.
0x2096FD59	OpenGL App Optimized Immediate Mode	10 - OpenGL	Fast immediate mode path enable
0x203C136F	OpenGL App Proe 2000I2	10 - OpenGL	Workaround for Pro/E's wrong vertex array enables
0x206BD8C7	OpenGL App Promote Shaders From 120 TO 130	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App Promote Shaders From 120 TO 130". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20441369	OpenGL App Promote Shaders From 140 TO 150	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App Promote Shaders From 140 TO 150". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x202FE114	OpenGL App Runtime Vertex Attrib Sourcing	10 - OpenGL	Post VAB generalizes the vertex shader to test the source of each vertex attribute used.  Allows enabled array state to change without requiring a new vertex shader
0x20D489F4	OpenGL App Shader Assumes 0	10 - OpenGL	Flags to forcibly enable zero-initialization of assembly temporaries for different shader stages.
0x20630BA7	OpenGL App Softimage	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App Softimage". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20EBD7B8	OpenGL App Supportbits2	10 - OpenGL	Mix of application workarounds - Part 2
0x20C618F9	OpenGL App TXL LOD WAR	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App TXL LOD WAR". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x207DF8D1	OpenGL App USE Dx10 SAT	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL App USE Dx10 SAT". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20AF9927	OpenGL App USE Loop Enhance	10 - OpenGL	Replaces some application immediate mode loops with block copy of data
0x20BAC7FA	OpenGL App USE Sddr	10 - OpenGL	Enable frame coherency assuming static data but with dynamic references
0x2007B25E	OpenGL App Vbum Virtual Address XP Only	10 - OpenGL	XP only, virtual addresses are created for any VBUM addresses passed back to the user application. Disabled for performance
0x20D59EDA	OpenGL App Vidmem Pushbuffer	10 - OpenGL	This app benefits greatly from vidmem pushbuffers
0x20D377DC	OpenGL App Vpww Allow Late Alloced	10 - OpenGL	In VirtualProtectWriteWatch, allow late allocations
0x20320CE4	OpenGL App Yield After Swap	10 - OpenGL	Call GL_YIELD in postSwapBuffers()
0x203691BB	OpenGL Application KEY	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Application KEY". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20CBFFC4	OpenGL Avoid Validation ON POP Matrix Without Change	10 - OpenGL	Avoid unnecessary calls to validation on pop matrix where no change has occurred. Limited to app bit to reduce risk
0x2045959A	OpenGL Check FOR Identity Matrix Math	10 - OpenGL	Add cycles to check for identity matrix math in some cases. Limited to app bit to reduce risk, quadro differentiator
0x20F107CC	OpenGL Conformant Incomplete Textures	10 - OpenGL	Indicates whether incomplete textures should produce (0,0,0,0) matching D3D and our hardware, or (0,0,0,1) as per the OpenGL specification
0x20A6EEBC	OpenGL Disable Workstation Optimizations	10 - OpenGL	Disables automatic enable of some workstation optimizations
0x20FBBC2B	OpenGL Dispatch Control	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Dispatch Control". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x207A3A90	OpenGL Filter Pixelformat	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Filter Pixelformat". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x2027F1A8	OpenGL Force Flush Textures	10 - OpenGL	Force flushing textures after cooking them.
0x20334278	OpenGL Force Nx6plusmode	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Force Nx6plusmode". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x206194D6	OpenGL Memory Pull Buffer Size	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Memory Pull Buffer Size". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x204B6CBF	OpenGL Multimon Buffer	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Multimon Buffer". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x208F3F2D	OpenGL Ocgcontrol Direct Nvir	10 - OpenGL	Controls OCG support for processing nvInst shaders.  Legacy support converts nvInst to a DAG; newer code converts it directly to NVIR (instruction list) form.
0x203A0751	OpenGL Overlay Mergeblit Timer MS	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Overlay Mergeblit Timer MS". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x209A0EE9	OpenGL Override 2Xtex	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Override 2Xtex". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20AB9B86	OpenGL Perf Strat Depth Compression	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Perf Strat Depth Compression". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x203714A4	OpenGL Perf Strat Lddm Allocationtable Size	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Perf Strat Lddm Allocationtable Size". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20D38906	OpenGL Perf Strat Lddm Cmdbuffer Size	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Perf Strat Lddm Cmdbuffer Size". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20EA260C	OpenGL Perf Strat Lddm Patchlocationtable Size	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Perf Strat Lddm Patchlocationtable Size". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x201FEBD1	OpenGL PFD Adjust	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL PFD Adjust". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20E802AF	OpenGL P-State Boost AT Clear	10 - OpenGL	Notify RM at each clear that pstates should be pushed to full power
0x20748292	OpenGL Quadro Worker Thread Creation	10 - OpenGL	Set this to 0 in order to prevent the creation of a suspended worker thread on Quadro
0x20219263	OpenGL Render Quality Flags	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Render Quality Flags". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x201808AC	OpenGL Shader Warnings AS Errors	10 - OpenGL	Controls whether portability warnings of shaders without '#version' directives are treated as errors.
0x20378242	OpenGL Shared Memory Usage Threshold	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Shared Memory Usage Threshold". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20D6CE24	OpenGL Skip Texture Host Copies	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Skip Texture Host Copies". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x205FB5AB	OpenGL SRV App Force OpenGL Geforce	10 - OpenGL	Enable GeForce optimizations on a Quadro
0x208D973F	OpenGL SRV App Force Secondary Adapter	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL SRV App Force Secondary Adapter". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20570FC6	OpenGL SRV App Memory MAP NOT Required	10 - OpenGL	Disables the mapping of video memory to system memory, consumes too much in Vista
0x20568533	OpenGL SRV App NO PFD Support GDI	10 - OpenGL	Final override for exporting PFD_SUPPORT_GDI. If this bit is set, PFD_SUPPORT_GDI will not be set, regardless of OGL_PfdAdjust or OGL_VistaControlFlags values
0x2003FF01	OpenGL SRV App NON Fsaa Singlebuffer	10 - OpenGL	Do not use FSAA modes for single buffered clients ( this helps a lot with Studio Tools 10 which draws menues with OpenGL )
0x20AF671D	OpenGL SRV App Noz16stencil	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL SRV App Noz16stencil". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x20F2E572	OpenGL Sysmem Texture Promotion	10 - OpenGL	Textures being promoted from Sysmem to Vidmem
0x204CFF7B	OpenGL Texclamp	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Texclamp". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x209FD306	OpenGL Thread Control 2	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL Thread Control 2". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x207A8C92	OpenGL Thread Optimization	10 - OpenGL	Set this to 0 in order to prevent the creation of a suspended worker thread on Quadro
0x202DC432	OpenGL Thread Optimization Geforce	10 - OpenGL	Threaded optimizations for GeForce.
0x20748F92	OpenGL Treat Depth24 AS Depth32	10 - OpenGL	For Quadro on Windows OSs only, set this to 1 in order to report depth 24 / stencil 0 formats as depth 32
0x20D0DB0D	OpenGL VID Heap Reuse Ratio	10 - OpenGL	Control the amount of freed video memory the allocator reserves for reuse by future allocations. By default the allocator reserves up to 10% of the total VRAM. The units are in 1/1000ths of total heap. So 100 means 10%.
0x10E3293A	Physx Enable	07 - System, Memory and Compute	Set for PhysX applications
0x00AE785C	Powerthrottle	07 - System, Memory and Compute	Controls the NVIDIA driver behavior associated with "Powerthrottle". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x001D744C	Shader Cache Control Flags 0X1d744c	07 - System, Memory and Compute	Controls the NVIDIA driver behavior associated with "Shader Cache Control Flags 0X1d744c". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x00F4889B	Shader Cache Control Flags 0Xf4889b	07 - System, Memory and Compute	Flags for shader cache
0x00F4889C	Shader Cache Control Flags For Automated Testing	07 - System, Memory and Compute	Controls the NVIDIA driver behavior associated with "Shader Cache Control Flags For Automated Testing". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x0013FEC2	Staging Cache Size	08 - SLI and NVLINK	Map() of staging buffer without DISCARD or NO_OVERWRITE is a problem unless we can map cached copy.  Smaller values can cause uncached maps to stall but larger values incur lots of memcpy() overhead.  Testing has found 8kb to be a sensible tradeoff (Outlook in sensitive to larger values). SLI uses a minimum value of 4mb.
0x00DB3853	Sysmemcachedcopybehavior	07 - System, Memory and Compute	This key is changing sysmem cached copy behavior
0x10F797A1	Tiled Cache Enable DX OpenGL	10 - OpenGL	Controls the predefined driver behavior associated with "Tiled Cache Enable DX OpenGL". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x10523DC0	Tiled Cache Enable DX OpenGL Pre 526.47	10 - OpenGL	enable/disable tiled cache
0x20523DD1	Tiled Cache Enable Vulkan	07 - System, Memory and Compute	MAXWELL_TILEDCACHE override for Vulkan.
0x1055F550	Tiled Cache Size	07 - System, Memory and Compute	Controls the predefined driver behavior associated with "Tiled Cache Size". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x104B6CA4	Tiledcache L2 Usage	07 - System, Memory and Compute	Controls the predefined driver behavior associated with "Tiledcache L2 Usage". This setting affects driver scheduling, memory policy, compute behavior, or system-level feature control.
0x0078D9D9	Disable SLI Explicitly Set Through Nvapi	08 - SLI and NVLINK	Disable SLI (Explicitly set through NVAPI)
0x1033DCD1	Number Of Gpus To Use On SLI Rendering Mode	08 - SLI and NVLINK	User visible exposed number of GPUs to use on SLI
0x1033DCD2	Nvidia Predefined Number Of Gpus To Use On SLI Rendering Mode	08 - SLI and NVLINK	Indicates in the NVIDIA Control Panel how many GPUs should be used by default for SLI operation
0x1033DCD3	Nvidia Predefined Number Of Gpus To Use On SLI Rendering Mode On Directx 10	08 - SLI and NVLINK	Indicates in the NVIDIA Control Panel how many GPUs should be used by default for DirectX 10 SLI operation.
0x1033CEC1	Nvidia Predefined SLI Mode	08 - SLI and NVLINK	Setting to indicate in the Control Panel which SLI mode is active by default
0x1033CEC2	Nvidia Predefined SLI Mode On Directx 10	08 - SLI and NVLINK	Setting to indicate in the Control Panel which SLI mode is active by default on DirectX 10
0x00A06948	NVLINK SLI Mode	08 - SLI and NVLINK	multichip mode for DX10 apps for new gpus (like TU+)
0x20873922	OpenGL SLI DL Control	10 - OpenGL	Optimise SLI downloads using P2P transfers
0x2014CC70	OpenGL SLI Windowed AFR	10 - OpenGL	Controls the predefined driver behavior associated with "OpenGL SLI Windowed AFR". This setting affects multi-GPU rendering, workload distribution, or NVLINK/SLI behavior.
0x00A0694B	SLI Broadcast Dx1x	08 - SLI and NVLINK	multichip app broadcast compat value for DX10 apps
0x0095DEF9	SLI Broadcast DX9	08 - SLI and NVLINK	Additional MCCOMPAT flags for broadcast RTT
0x20343843	SLI CFR Mode	08 - SLI and NVLINK	Controls CFR modes and options
0x00A06946	SLI Compatibility Bits Dx10 + Dx11	08 - SLI and NVLINK	multichip app compat value for DX10 apps
0x00A04746	SLI Compatibility Bits Dx12	08 - SLI and NVLINK	***DEPRECATED*** - IMPLICIT SLI NOT SUPPORTED ANY LONGER. multichip implicit SLI app compat value for DX12 apps
0x1095DEF8	SLI Compatibility Bits DX9	08 - SLI and NVLINK	Controls the predefined driver behavior associated with "SLI Compatibility Bits DX9". This setting affects multi-GPU rendering, workload distribution, or NVLINK/SLI behavior.
0x209746C1	SLI Compatibility Bits OpenGL	10 - OpenGL	Controls the predefined driver behavior associated with "SLI Compatibility Bits OpenGL". This setting affects multi-GPU rendering, workload distribution, or NVLINK/SLI behavior.
0x009CFEC8	SLI Copy Engine	08 - SLI and NVLINK	Copy Engine Configuration for DX1x
0x00A06746	SLI Specific Hacks Dx1x	08 - SLI and NVLINK	multichip app specific hacks for single app
0x00A0674A	SLI Specific Hacks DX9	08 - SLI and NVLINK	multichip app specific hacks for single app in DX9
0x00F713BC	Slimosaic Control	08 - SLI and NVLINK	Control strategies used to improve Mosaic and Surround performance
0x701EB457	Stereo - Profile Enable	09 - Stereo	Enables or disables the NVIDIA stereo profile path.
0x709D3AD2	Stereo - VR Support Flags	09 - Stereo	Flags related to VR Support
0x70D76B8F	0x70D76B8F (Stereo)	09 - Stereo	
0x709ADADC	2DD Notes	09 - Stereo	Controls the predefined driver behavior associated with "2DD Notes". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x709ADADB	2Ddconvergence	09 - Stereo	Controls the predefined driver behavior associated with "2Ddconvergence". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x709ADADA	2Ddhudsettings	09 - Stereo	Controls the predefined driver behavior associated with "2Ddhudsettings". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x702C7709	Allownonexclusivestereo	09 - Stereo	Controls the predefined driver behavior associated with "Allownonexclusivestereo". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70B5603F	API	09 - Stereo	Controls the predefined driver behavior associated with "API". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x702A0AB2	Autoconvergence	09 - Stereo	Controls the predefined driver behavior associated with "Autoconvergence". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70BF3C6B	Autoconvergenceadjustpace	09 - Stereo	Controls the predefined driver behavior associated with "Autoconvergenceadjustpace". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x704D456E	Comments	09 - Stereo	Controls the predefined driver behavior associated with "Comments". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70729E58	Compareeyes	09 - Stereo	Controls the predefined driver behavior associated with "Compareeyes". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70EFB726	Comparefrom	09 - Stereo	Controls the predefined driver behavior associated with "Comparefrom". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70A7FC7F	Createstereodtafterpresentnum	09 - Stereo	Controls the predefined driver behavior associated with "Createstereodtafterpresentnum". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x704C9A46	Cutofffardepthless	09 - Stereo	Controls the predefined driver behavior associated with "Cutofffardepthless". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70FBC04D	Cutofffardepthmore	09 - Stereo	Controls the predefined driver behavior associated with "Cutofffardepthmore". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70D1BDB5	Cutoffneardepthless	09 - Stereo	Controls the predefined driver behavior associated with "Cutoffneardepthless". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7020C991	Cutoffneardepthmore	09 - Stereo	Controls the predefined driver behavior associated with "Cutoffneardepthmore". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x704B45C7	Cutoffstepless	09 - Stereo	Controls the predefined driver behavior associated with "Cutoffstepless". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x700F2971	Cutoffstepmore	09 - Stereo	Controls the predefined driver behavior associated with "Cutoffstepmore". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x00161903	D3D Stereo Black List	09 - Stereo	Prohibit stereo shim in DX apps
0x705FAFEC	Date Rel	09 - Stereo	Controls the predefined driver behavior associated with "Date Rel". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7042EEF1	Delayedstereodesktop	09 - Stereo	Controls the predefined driver behavior associated with "Delayedstereodesktop". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70C73BA2	Deleteconfig	09 - Stereo	Controls the predefined driver behavior associated with "Deleteconfig". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x703C4026	Developer	09 - Stereo	Controls the predefined driver behavior associated with "Developer". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x704F5928	Developer Issues	09 - Stereo	Controls the predefined driver behavior associated with "Developer Issues". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x709ADADD	Disable2dd	09 - Stereo	Controls the predefined driver behavior associated with "Disable2dd". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70175566	Discardhotkeys	09 - Stereo	Controls the predefined driver behavior associated with "Discardhotkeys". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70092D4A	Dx10dscbnumber	09 - Stereo	Controls the predefined driver behavior associated with "Dx10dscbnumber". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70F8E408	Dx10vscbnumber	09 - Stereo	Controls the predefined driver behavior associated with "Dx10vscbnumber". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x702B8C95	Enablece	09 - Stereo	Controls the predefined driver behavior associated with "Enablece". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70CB9168	Enableconsumerstereosupport	09 - Stereo	Controls the predefined driver behavior associated with "Enableconsumerstereosupport". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7096ECED	Enablepartialstereoblit	09 - Stereo	Controls the predefined driver behavior associated with "Enablepartialstereoblit". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70E46F2B	Enablestereocursor	09 - Stereo	Controls the predefined driver behavior associated with "Enablestereocursor". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x705FAED7	Favorsz	09 - Stereo	Controls the predefined driver behavior associated with "Favorsz". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70A1411A	Frustumadjustmode	09 - Stereo	Controls the predefined driver behavior associated with "Frustumadjustmode". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70C8D48E	Game	09 - Stereo	Controls the predefined driver behavior associated with "Game". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x704A905A	Gameconfigs	09 - Stereo	Controls the predefined driver behavior associated with "Gameconfigs". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x702244B7	Gamespecific0	09 - Stereo	Controls the predefined driver behavior associated with "Gamespecific0". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70E8420C	Gammaadjustless	09 - Stereo	Controls the predefined driver behavior associated with "Gammaadjustless". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x703F4521	Gammaadjustmore	09 - Stereo	Controls the predefined driver behavior associated with "Gammaadjustmore". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70B8A743	Glassesdelayminus	09 - Stereo	Controls the predefined driver behavior associated with "Glassesdelayminus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x701FC5B4	Glassesdelayplus	09 - Stereo	Controls the predefined driver behavior associated with "Glassesdelayplus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70057BB6	Glassesswitchdelay	09 - Stereo	Controls the predefined driver behavior associated with "Glassesswitchdelay". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7064F0C2	Ingamelasersight	09 - Stereo	Controls the predefined driver behavior associated with "Ingamelasersight". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x706139AD	Ingamelasersightdx9states	09 - Stereo	Controls the predefined driver behavior associated with "Ingamelasersightdx9states". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70B1C8CC	Interleavepattern0	09 - Stereo	Controls the predefined driver behavior associated with "Interleavepattern0". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7091A772	Interleavepattern1	09 - Stereo	Controls the predefined driver behavior associated with "Interleavepattern1". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7048B7DC	Laseradjustxminus	09 - Stereo	Controls the predefined driver behavior associated with "Laseradjustxminus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70D8BAE6	Laseradjustxplus	09 - Stereo	Controls the predefined driver behavior associated with "Laseradjustxplus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70FB9E1E	Laseradjustyminus	09 - Stereo	Controls the predefined driver behavior associated with "Laseradjustyminus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7024EDA4	Laseradjustyplus	09 - Stereo	Controls the predefined driver behavior associated with "Laseradjustyplus". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7058B6E1	Lasersight	09 - Stereo	Controls the predefined driver behavior associated with "Lasersight". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7054837A	Lasersightenabled	09 - Stereo	Controls the predefined driver behavior associated with "Lasersightenabled". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x707AC50D	Lasersightfile	09 - Stereo	Controls the predefined driver behavior associated with "Lasersightfile". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70DA83C6	Lasersightindex	09 - Stereo	Controls the predefined driver behavior associated with "Lasersightindex". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7032243A	Lasersightproperty	09 - Stereo	Controls the predefined driver behavior associated with "Lasersightproperty". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70031B88	Lasersighttrigger	09 - Stereo	Controls the predefined driver behavior associated with "Lasersighttrigger". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7057E831	Stereo - Laser Sight X Offset	09 - Stereo	Adjusts the horizontal position of the stereo laser sight overlay.
0x70225308	Stereo - Laser Sight Y Offset	09 - Stereo	Adjusts the vertical position of the stereo laser sight overlay.
0x7014FCA2	Laserzadjust	09 - Stereo	Controls the predefined driver behavior associated with "Laserzadjust". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70D51CD1	Leftanaglyphfilter	09 - Stereo	Controls the predefined driver behavior associated with "Leftanaglyphfilter". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7032022C	Maxmonitorsize	09 - Stereo	Controls the predefined driver behavior associated with "Maxmonitorsize". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x709E4A94	Maxvertexcount	09 - Stereo	Controls the predefined driver behavior associated with "Maxvertexcount". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70A8FC7F	Mediaplayer	09 - Stereo	Controls the predefined driver behavior associated with "Mediaplayer". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70BD11E0	Mixedtnl	09 - Stereo	Controls the predefined driver behavior associated with "Mixedtnl". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x70969BB0	Modesetwarning	09 - Stereo	Controls the predefined driver behavior associated with "Modesetwarning". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
0x7086EBE9	Monitorsize	09 - Stereo	Controls the predefined driver behavior associated with "Monitorsize". This setting affects stereo rendering behavior or stereo-specific compatibility logic.
